"","UA","area.floresta1500","area.floresta1000","area.floresta750","area.floresta500","eucl1500","eucl1000","eucl750","eucl500","X.y","bdodmean","cecmean","claymean","nitrogenmean","phh2omean","sandmean","bio1","bio5","bio4","bio6","bio7","bio12","bio13","bio14","bio15","elev","X (Longitude)","Y (Latitude)","Freq","FT","stage","X","dur_uso_anos","n.changes","freq.fire","forest.type"
"184","568",55.08,55.08,50.22,40.5,180,180,180,9360,220,0.106,1.965,4.688,0.304,0.51,2.232,2920,3010,3456,2827,183,15888,1850,916,235,407,595430,7003012,20.5082592121982,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",214,25,19,1,"FOD"
"185","570",122.31,91.53,60.75,41.31,180,180,180,180,221,0.1,1.975,4.537,0.359,0.502,2.268,2917,3006,3401,2824,182,15474,1778,932,212,461,613266,7003137,42.5196850393701,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",215,31,12,1,"FOD"
"186","571",377.46,207.36,131.22,73.71,254.558441227157,284.604989415154,7290.55553438831,7830.51722429623,222,0.1,2.01,4.828,0.333,0.51,2.235,2914,3003,3365,2823,180,17015,1979,1046,212,496,621941,7002989,64.5653279105236,"Floresta Ombrófila Densa","Estádio Médio de Regeneração",216,27,10,2,"FOD"
"187","573",589.68,277.02,150.66,62.37,7200.56247802906,8280.48911598826,8910,9360,223,0.096,1.982,5.175,0.415,0.507,1.91,2900,2983,3033,2814,169,17530,2137,1069,224,793,639791,7002815,87.8240976105745,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",217,13,11,1,"FOD"
"190","577",707.94,313.47,177.39,79.38,6030,7020,7470,8010,226,0.097,2.355,4.75,0.369,0.495,2.035,2908,2988,2977,2828,160,19184,2606,1050,281,566,675478,7002372,100,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",220,0,1,1,"FOD"
"191","579",657.72,302.94,172.53,76.14,6120,7020,7560,8100,228,0.102,1.965,4.477,0.35,0.513,2.22,2927,3008,3163,2842,166,19533,2701,992,301,336,693395,7002083,59.8423194303154,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",221,16,6,1,"FOD"
"193","597",15.39,15.39,15.39,15.39,201.246117974981,201.246117974981,201.246117974981,201.246117974981,232,0.099,1.702,4.47,0.308,0.51,2.097,2917,3004,3264,2824,180,24843,2813,1628,146,713,336161,7012905,19.1397302112497,"Floresta Estacional Decidual/Floresta Ombrófila Mista","Estádio Avançado de Regeneração",225,29,14,2,"FED"
"194","602",260.82,132.03,77.76,41.31,180,180,180,180,233,0.095,1.907,4.662,0.35,0.53,1.98,2901,2985,3102,2811,174,23716,2753,1488,156,972,380578,7012774,45.9287531806616,"Floresta Ombrófila Mista","Estádio Médio de Regeneração",226,11,7,2,"FOM"
"195","605",161.19,110.16,76.14,36.45,180,180,180,180,234,0.096,2.027,4.757,0.342,0.53,1.755,2899,2982,3024,2815,167,25137,2851,1519,159,1039,407727,7013225,42.1414038657172,"Floresta Ombrófila Mista","Estádio Médio de Regeneração",227,9,11,4,"FOM"
"197","619",492.48,288.36,172.53,77.76,180,7110,7560,8010,240,0.097,2.005,5.407,0.296,0.51,1.568,2900,2985,3077,2817,168,16461,1799,1051,169,979,532720,7013545,91.4699162223915,"Floresta Ombrófila Mista","Estádio Médio de Regeneração",233,0,19,4,"FOM"
"198","623",415.53,222.75,136.89,70.47,180,270,7560,8010,241,0.096,2.305,5.405,0.342,0.49,1.542,2881,2966,2990,2798,168,22276,2498,1312,216,1173,568443,7013359,70.5209656925032,"Floresta Ombrófila Mista","Estádio Avançado de Regeneração",234,22,11,6,"FOM"
"199","624",696.6,313.47,178.2,78.57,6030,7020,7560,8010,242,0.092,2.013,5.675,0.409,0.5,1.748,2900,2987,3146,2814,173,19875,2324,1131,246,843,577390,7013311,100,"Floresta Ombrófila Densa","Estádio Médio de Regeneração",235,0,2,1,"FOD"
"200","625",430.11,190.35,111.78,52.65,180,201.246117974981,450,8010,243,0.095,1.915,5.292,0.38,0.51,1.945,2900,2987,3146,2813,174,16674,1965,956,239,781,586320,7013264,63.421453990849,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",236,16,14,1,"FOD"
"201","631",318.33,196.02,128.79,59.94,180,180,7470,8010,246,0.098,1.867,4.663,0.346,0.51,2.127,2913,2999,3235,2826,173,13913,1707,840,225,403,639952,7012998,66.6582021330625,"Floresta Ombrófila Densa","Estádio Médio de Regeneração",239,31,11,1,"FOD"
"202","633",636.66,306.99,175.77,79.38,6030,7020,7470,8010,248,0.102,1.875,4.262,0.347,0.488,2.198,2924,3009,3309,2838,171,17343,2257,994,258,292,657766,7012566,96.6921119592875,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",241,17,10,1,"FOD"
"203","634",567,258.39,146.61,63.99,180,180,7470,8010,249,0.103,1.715,4.307,0.289,0.498,2.17,2927,3011,3291,2843,168,16134,2156,902,271,181,666692,7012460,82.5844122873826,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",242,17,10,2,"FOD"
"204","635",492.48,217.89,112.59,43.74,180,7020,7560,270,250,0.105,1.862,4.307,0.32,0.498,2.197,2919,3000,3075,2837,163,17361,2368,928,287,385,675615,7012351,69.3737270875764,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",243,6,5,1,"FOD"
"205","637",566.19,261.63,144.18,57.51,180,6930,7380,7920,252,0.1,1.893,4.362,0.335,0.498,2.327,2925,3006,3110,2842,164,18998,2618,952,304,159,693400,7012022,81.769641495042,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",245,18,10,1,"FOD"
"206","638",537.03,228.42,130.41,63.18,180,180,7560,8100,253,0.101,2.16,4.163,0.33,0.49,2.5,2932,3012,3161,2850,162,18871,2609,929,306,58,702398,7011990,72.7803145611365,"Floresta Ombrófila Densa","Estádio Médio de Regeneração",246,12,12,1,"FOD"
"207","639",30.78,25.11,21.87,17.82,180,254.558441227157,254.558441227157,8190.49449056649,254,0.11,2.125,3.455,0.303,0.49,2.895,2935,3010,3140,2858,152,18139,2489,905,300,41,711381,7011717,14.5579268292683,"Floresta Ombrófila Densa","Estádio Médio de Regeneração",247,24,13,1,"FOD"
"208","640",239.76,132.84,49.41,37.26,180,180,180,180,255,0.107,1.968,3.747,0.291,0.51,2.695,2936,3005,3084,2864,141,17513,2390,874,295,86,720263,7011635,44.5997458703939,"Floresta Ombrófila Densa","Estádio Médio de Regeneração",248,20,12,1,"FOD"
"209","641",656.1,309.42,177.39,80.19,6120,7020,7560,8100,256,0.103,2.018,4.115,0.296,0.495,2.402,2933,2997,3008,2867,130,18559,2533,900,300,88,729208,7011460,98.8543788187373,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",249,0,6,2,"FOD"
"210","660",171.72,119.88,72.9,36.45,180,201.246117974981,201.246117974981,12795.5187468113,258,0.092,1.82,4.918,0.334,0.52,1.542,2902,2985,3045,2816,169,21778,2484,1337,155,1004,389751,7022916,39.2766174223128,"Floresta Ombrófila Mista/Floresta Estacional Decidual","Estádio Avançado de Regeneração",251,29,10,3,"FOM"
"211","668",357.21,157.14,88.29,43.74,180,180,180,8010,259,0.096,1.982,5.343,0.303,0.532,1.443,2899,2985,3063,2814,171,21484,2295,1289,166,982,461443,7023769,51.8452532451005,"Floresta Ombrófila Mista","Estádio Avançado de Regeneração",252,22,9,2,"FOM"
"212","669",380.7,173.34,95.58,43.74,180,180,180,180,260,0.096,1.99,5.347,0.283,0.53,1.587,2903,2991,3148,2817,174,20612,2203,1251,163,1018,470287,7023463,57.0556826849733,"Floresta Ombrófila Mista","Estádio Médio de Regeneração",253,28,9,2,"FOM"
"213","672",123.93,85.05,61.56,40.5,180,201.246117974981,201.246117974981,201.246117974981,261,0.1,1.823,5.518,0.303,0.51,1.388,2899,2987,3146,2813,174,18163,1902,1150,149,909,496755,7023630,44.5489199491741,"Floresta Ombrófila Mista","Estádio Médio de Regeneração",254,25,9,1,"FOM"
"214","673",28.35,28.35,28.35,28.35,180,180,180,180,262,0.102,2.002,5.45,0.306,0.5,1.693,2896,2982,3100,2810,172,18624,1961,1190,152,1035,505957,7023521,35.2492370295015,"Floresta Ombrófila Mista","Estádio Avançado de Regeneração",255,32,11,4,"FOM"
"216","681",663.39,312.66,178.2,78.57,6120,7110.56959743732,7830,8190,264,0.095,1.94,5.282,0.368,0.51,1.892,2902,2989,3113,2816,173,20545,2373,1184,240,772,577477,7023311,99.719602345144,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",257,0,4,2,"FOD"
"217","682",135.27,55.89,48.6,27.54,180,180,180,180,265,0.097,1.725,5.078,0.336,0.51,2.113,2906,2993,3185,2818,175,16221,1894,929,238,710,586526,7023401,33.2313965341488,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",258,30,13,5,"FOD"
"218","685",204.93,137.7,93.15,51.03,180,180,180,8280,266,0.097,2.023,4.865,0.362,0.52,2.227,2910,2998,3225,2820,178,16576,1908,983,217,612,612954,7023064,43.9216683621567,"Floresta Ombrófila Densa","Estádio Médio de Regeneração",259,31,12,1,"FOD"
"219","686",477.9,225.99,142.56,68.04,180,180,201.246117974981,180,267,0.099,1.81,4.605,0.381,0.508,2.138,2919,3007,3334,2828,179,15184,1760,917,211,415,622143,7022935,76.1444557477111,"Floresta Ombrófila Densa","Estádio Médio de Regeneração",260,28,12,2,"FOD"
"220","687",494.1,238.95,145.8,68.85,180,180,7478.6696677952,8014.54926992155,268,0.097,2.043,5.312,0.368,0.52,2.092,2914,3000,3239,2826,174,14775,1754,890,216,683,631304,7023020,77.4980930587338,"Floresta Ombrófila Densa","Estádio Médio de Regeneração",261,29,10,2,"FOD"
"221","688",596.97,244.62,130.41,56.7,180,180,180,180,269,0.098,1.967,5.022,0.37,0.52,2.018,2899,2981,2954,2817,164,17126,2109,1026,226,862,640217,7022553,75.8515505846467,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",262,30,12,2,"FOD"
"223","690",677.97,299.7,167.67,72.09,180,6930,7470,7920,271,0.094,2.163,4.477,0.386,0.52,2.177,2912,2994,3052,2830,164,20254,2645,1152,260,511,657803,7022544,95.250190500381,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",264,24,9,1,"FOD"
"225","712",54.27,54.27,52.65,34.83,180,180,180,180,274,0.105,1.79,4.153,0.332,0.515,2.048,2919,3004,3160,2831,173,22287,2560,1455,149,681,353879,7032686,16.8917197452229,"Floresta Estacional Decidual/Floresta Ombrófila Mista","Estádio Avançado de Regeneração",267,26,11,4,"FED"
"226","714",24.3,24.3,24.3,20.25,284.604989415154,284.604989415154,402.492235949962,16650.2432414665,275,0.098,1.737,4.348,0.324,0.498,2.327,2910,2993,3072,2824,169,21834,2545,1381,157,828,371402,7032591,7.7766445690974,"Floresta Ombrófila Mista/Floresta Estacional Decidual","Estádio Avançado de Regeneração",268,25,13,2,"FOM"
"227","717",515.16,234.9,146.61,68.04,180,180,284.604989415154,4969.59756922027,276,0.096,1.957,5.49,0.343,0.51,1.367,2898,2979,2977,2815,164,25246,2903,1529,164,1073,398834,7033091,74.3896236012208,"Floresta Ombrófila Mista","Estádio Avançado de Regeneração",269,6,11,6,"FOM"
