"","UA","area.floresta1500","area.floresta1000","area.floresta750","area.floresta500","eucl1500","eucl1000","eucl750","eucl500","X.y","bdodmean","cecmean","claymean","nitrogenmean","phh2omean","sandmean","bio1","bio5","bio4","bio6","bio7","bio12","bio13","bio14","bio15","elev","X (Longitude)","Y (Latitude)","Freq","FT","stage","X","dur_uso_anos","n.changes","freq.fire","forest.type"
"264","852",562.14,278.64,158.76,76.14,180,7020,180,8100,321,0.099,2.072,5.055,0.358,0.5,2.112,2913,2999,3180,2824,175,16488,1852,987,204,641,604510,7053001,83.7506387327542,"Floresta Ombrófila Mista/Floresta Ombrófila Densa","Estádio Médio de Regeneração",313,30,12,1,"FOM"
"266","856",664.2,308.61,172.53,76.95,6030,7020,7560,8100,323,0.096,3.232,5.45,0.422,0.482,1.83,2895,2973,2811,2817,156,20753,2551,1230,232,913,640342,7052664,98.2138300586884,"Floresta Ombrófila Mista","Estádio Avançado de Regeneração",315,3,4,3,"FOM"
"267","857",632.61,309.42,175.77,78.57,284.604989415154,6840,7380,7920,324,0.096,2.385,4.975,0.347,0.49,2.277,2896,2973,2784,2820,153,18865,2401,1104,247,908,649304,7052561,98.00969635111,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",316,2,4,3,"FOD"
"268","858",596.97,283.5,165.24,72.09,180,6840,7380,7920,325,0.098,2.18,5.203,0.272,0.49,2.187,2904,2982,2813,2827,155,20969,2762,1178,264,729,658123,7052641,90.3694267515924,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",317,13,13,1,"FOD"
"272","886",90.72,49.41,37.26,17.82,180,180,180,180,330,0.102,1.663,4.83,0.248,0.52,2.052,2904,2996,3431,2812,184,15420,1547,913,135,843,496675,6919190,36.0394537177542,"Floresta Ombrófila Mista/Floresta Estacional Decidual","Estádio Médio de Regeneração",322,24,11,3,"FOM"
"273","887",562.14,295.65,169.29,77.76,201.246117974981,8460,8910,9450,331,0.1,2.073,5.378,0.289,0.5,1.513,2891,2979,3063,2806,173,18792,1993,1119,170,1025,497224,7063018,94.312675337924,"Floresta Ombrófila Mista","Estádio Avançado de Regeneração",323,4,6,5,"FOM"
"274","894",396.09,185.49,101.25,36.45,201.246117974981,180,201.246117974981,180,332,0.097,1.953,5.138,0.292,0.51,1.612,2902,2989,3086,2816,173,18979,2109,1160,198,858,559789,7063513,58.6840091813313,"Floresta Ombrófila Mista","Estádio Médio de Regeneração",324,23,11,1,"FOM"
"275","895",387.18,207.36,124.74,68.04,180,201.246117974981,201.246117974981,7832.06869224217,333,0.094,1.94,5.172,0.399,0.51,1.743,2903,2990,3104,2816,174,17639,1957,1080,197,824,568461,7063060,65.0753127393413,"Floresta Ombrófila Mista","Estádio Médio de Regeneração",325,26,12,1,"FOM"
"276","899",687.69,306.18,170.1,76.14,6939.34434943244,8010,8550,9000,334,0.102,1.752,4.62,0.25,0.522,2.532,2911,2996,3129,2823,173,14520,1621,870,198,723,604911,7063015,96.9109011998979,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",326,17,20,1,"FOD"
"277","901",392.85,204.93,119.07,60.75,180,7110,201.246117974981,8191.977783173,335,0.096,2.63,5.143,0.363,0.482,1.897,2898,2978,2922,2816,162,18541,2140,1121,203,960,622441,7062830,66.6411434405309,"Floresta Ombrófila Mista","Estádio Avançado de Regeneração",327,19,10,4,"FOM"
"278","902",489.24,309.42,177.39,78.57,180,7110,7650,8191.977783173,336,0.094,2.658,5.192,0.402,0.482,1.93,2894,2973,2846,2815,158,19859,2364,1194,216,1006,631481,7062721,96.3199591106568,"Floresta Ombrófila Mista","Estádio Avançado de Regeneração",328,12,8,5,"FOM"
"280","906",663.39,315.09,174.96,76.14,201.246117974981,7020,7560,8100,338,0.095,2.167,4.82,0.406,0.49,2.003,2896,2972,2689,2821,151,22940,3110,1250,285,888,667354,7062307,99.5661051556917,"Floresta Ombrófila Densa/Floresta Ombrófila Mista","Estádio Médio de Regeneração",330,6,3,1,"FOD"
"282","912",298.89,210.6,147.42,70.47,180,180,7382.19479558756,7838.27149312908,341,0.102,2.737,3.565,0.359,0.49,3.463,2941,3007,3039,2869,138,18391,2505,927,303,16,721474,7061673,2.01530612244898,"Floresta Ombrófila Densa de Terras Baixas","Estádio Avançado de Regeneração",333,8,7,1,"FOD"
"283","918",134.46,99.63,76.14,34.83,180,180,180,201.246117974981,343,0.101,1.765,5.36,0.283,0.515,1.525,2914,2997,3084,2829,168,22678,2620,1184,185,701,272537,7071222,37.1231476750128,"Floresta Estacional Decidual/Floresta Ombrófila Mista","Estádio Médio de Regeneração",334,18,9,2,"FED"
"284","933",577.53,234.9,130.41,72.09,5940,7020,201.246117974981,7920.51134712905,348,0.093,2.037,5.433,0.343,0.507,1.375,2891,2979,3074,2805,174,20538,2204,1217,170,1079,497009,7073361,72.1470513147817,"Floresta Ombrófila Mista","Estádio Médio de Regeneração",339,22,11,2,"FOM"
"285","934",536.22,248.67,140.13,68.04,180,180,180,7920.51134712905,349,0.09,2.272,5.712,0.343,0.51,1.39,2884,2971,3013,2798,173,20792,2230,1227,174,1130,505892,7073176,79.2592592592593,"Floresta Ombrófila Mista","Estádio Avançado de Regeneração",340,27,11,2,"FOM"
"287","939",606.69,277.83,157.95,74.52,5940,7110.56959743732,7560,8190,351,0.096,2.333,5.033,0.35,0.505,1.647,2902,2988,3103,2816,172,20094,2221,1207,189,919,550932,7073307,85.8273748723187,"Floresta Ombrófila Mista","Estádio Avançado de Regeneração",342,21,10,1,"FOM"
"289","945",443.07,190.35,117.45,49.41,180,180,180,254.558441227157,354,0.096,1.948,4.965,0.319,0.5,1.987,2902,2985,2987,2816,169,16354,1814,998,187,844,604786,7072899,61.803781297905,"Floresta Ombrófila Mista/Floresta Ombrófila Densa","Estádio Médio de Regeneração",345,25,12,1,"FOM"
"290","946",494.91,219.51,137.7,67.23,180,180,180,8100,355,0.099,2.455,4.993,0.325,0.49,2.18,2898,2980,2945,2815,165,17590,1980,1067,194,922,613802,7072914,71.2423312883436,"Floresta Ombrófila Mista","Estádio Médio de Regeneração",346,23,10,2,"FOM"
"291","949",402.57,212.22,129.6,60.75,180,180,180,12479.2067055562,356,0.096,2.185,4.943,0.401,0.497,2.088,2900,2977,2819,2822,155,18039,2210,1082,225,871,640521,7072621,67.6718630207002,"Floresta Ombrófila Mista","Estádio Médio de Regeneração",347,16,10,2,"FOM"
"293","953",483.57,205.74,137.7,58.32,201.246117974981,201.246117974981,8551.89452694548,9090.44553363585,358,0.103,2.085,4.037,0.268,0.488,2.912,2934,3011,2999,2855,156,17493,2378,910,302,262,676170,7072162,68.1574239713775,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",349,13,9,1,"FOD"
"294","974",340.2,156.33,83.43,42.12,180,180,180,254.558441227157,361,0.093,2.31,5.3,0.347,0.5,1.73,2894,2982,3121,2805,177,18821,2074,1098,181,1038,506184,7083208,49.6036819227819,"Floresta Ombrófila Mista","Estádio Médio de Regeneração",351,21,10,2,"FOM"
"295","976",362.88,165.24,102.06,52.65,180,180,180,16290,362,0.098,2.307,4.875,0.311,0.518,1.643,2899,2986,3119,2810,176,17330,1870,1009,179,788,523348,7082969,49.8592990534664,"Floresta Ombrófila Mista","Estádio Médio de Regeneração",352,28,9,9,"FOM"
"296","978",563.76,276.21,163.62,78.57,180,6840,7380,7740,363,0.092,2.548,5.513,0.396,0.5,1.612,2888,2973,3007,2802,171,18255,1982,1070,187,1117,541866,7082019,88.5451291229864,"Floresta Ombrófila Mista","Estádio Avançado de Regeneração",353,10,7,1,"FOM"
"297","979",82.62,64.8,52.65,38.88,201.246117974981,270,270,270,364,0.098,2.137,5.033,0.388,0.5,1.897,2906,2991,3148,2817,174,16613,1821,986,187,820,551020,7083144,35.3452685421995,"Floresta Ombrófila Mista","Estádio Médio de Regeneração",354,31,11,2,"FOM"
"298","984",530.55,255.96,156.33,77.76,180,270,180,12610.9238361034,366,0.102,2.1,4.763,0.315,0.497,1.96,2904,2987,3028,2818,169,16666,1837,1014,189,827,595772,7082975,83.9180537772087,"Floresta Ombrófila Mista","Estádio Médio de Regeneração",356,29,11,2,"FOM"
"299","991",635.85,272.16,142.56,63.18,6030,7110,7560,8100,367,0.1,1.812,4.915,0.425,0.502,2.248,2901,2977,2728,2824,153,19354,2472,1086,251,882,658634,7082380,83.8866189989785,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",357,7,8,1,"FOD"
"302","995",501.39,247.05,149.85,70.47,201.246117974981,7415.03877265655,7740,8280,371,0.102,2.08,3.968,0.346,0.475,2.862,2934,3009,2999,2855,154,20621,2881,1037,323,156,694690,7081906,77.590607452782,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",361,7,10,2,"FOD"
"303","997",345.87,210.6,137.7,56.7,201.246117974981,11647.6134894664,12159.3297512651,12564.2707707212,372,0.104,2.648,3.497,0.328,0.487,3.133,2942,3014,3046,2864,150,19402,2704,949,331,36,712523,7081585,31.3920817369093,"Floresta Ombrófila Densa de Terras Baixas","Estádio Médio de Regeneração",362,21,11,2,"FOD"
"306","1003",149.04,112.59,77.76,46.98,180,201.246117974981,254.558441227157,254.558441227157,375,0.102,1.815,6.188,0.296,0.522,1.088,2909,2991,3059,2824,167,24298,2828,1252,185,890,272161,7091040,45.2965235173824,"Floresta Ombrófila Mista","Estádio Médio de Regeneração",365,32,13,2,"FOM"
"307","1010",408.24,199.26,108.54,42.12,180,6585.39292677362,201.246117974981,201.246117974981,378,0.106,2.37,4.83,0.292,0.492,2.123,2907,2993,3161,2817,176,16480,1796,966,182,805,550360,7093341,62.1006900076667,"Floresta Ombrófila Mista","Estádio Médio de Regeneração",368,23,11,4,"FOM"
"308","1013",501.39,268.92,153.9,75.33,360,1310.41978007049,1835.6470248934,2367.53035883386,379,0.101,2.92,4.833,0.417,0.492,2.233,2907,2990,3091,2819,171,17569,1924,1070,182,831,577876,7093073,84.1485275288092,"Floresta Ombrófila Mista","Estádio Avançado de Regeneração",369,23,11,7,"FOM"
"309","1016",261.63,132.84,76.14,42.93,180,180,180,12743.8220326557,380,0.098,2.29,4.912,0.304,0.49,2.133,2902,2982,2937,2818,164,18286,2034,1115,193,903,604852,7093203,40.2557544757033,"Floresta Ombrófila Mista","Estádio Avançado de Regeneração",370,27,12,2,"FOM"
"310","1019",163.62,107.73,68.85,32.4,180,201.246117974981,201.246117974981,381.837661840736,381,0.101,2.077,4.832,0.286,0.5,2.095,2902,2981,2882,2820,161,16006,1890,961,207,911,631660,7092705,50.9964230965764,"Floresta Ombrófila Mista","Estádio Avançado de Regeneração",371,30,10,3,"FOM"
"311","1024",471.42,136.89,89.1,42.12,201.246117974981,180,284.604989415154,284.604989415154,383,0.098,2.538,4.7,0.356,0.5,2.455,2893,2966,2624,2819,147,26738,3562,1399,285,1011,676902,7092314,61.2829031433683,"Floresta Ombrófila Mista","Estádio Médio de Regeneração",373,28,12,4,"FOM"
"313","1042",257.58,135.27,88.29,47.79,180,254.558441227157,12031.7579762893,180,389,0.101,1.88,4.382,0.364,0.502,2.922,2906,2986,2938,2822,164,15869,1814,952,199,845,622895,7102689,46.3370901639344,"Floresta Ombrófila Mista","Estádio Médio de Regeneração",378,28,13,2,"FOM"
"315","1052",624.51,312.66,177.39,78.57,180,8190,8550,9090,393,0.107,1.958,4.388,0.341,0.485,2.258,2933,3003,2892,2857,146,26104,3875,1167,378,306,730844,7101220,99.8463114754098,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",382,0,4,1,"FOD"
"316","1055",57.51,57.51,57.51,42.12,180,180,180,180,394,0.103,2.192,5.045,0.344,0.49,2.267,2909,2992,3115,2819,173,18363,2035,1029,185,792,551086,7113054,27.7592829705506,"Floresta Ombrófila Mista","Estádio Médio de Regeneração",383,32,13,4,"FOM"
"317","1056",317.52,128.79,89.1,43.74,180,180,180,180,395,0.103,2.243,4.977,0.405,0.497,2.232,2909,2992,3107,2820,172,17217,1919,978,185,838,559996,7113104,45.3473468341451,"Floresta Ombrófila Mista","Estádio Médio de Regeneração",384,29,14,11,"FOM"
"318","1059",179.01,145.8,101.25,45.36,180,180,201.246117974981,17370,396,0.1,1.993,5.148,0.289,0.502,1.898,2907,2989,3001,2820,169,17449,1923,1035,184,855,586700,7112619,53.7141393442623,"Floresta Ombrófila Mista","Estádio Avançado de Regeneração",385,32,12,3,"FOM"
"319","1061",98.01,64.8,51.03,35.64,201.246117974981,270,270,17370,397,0.101,2.318,4.762,0.31,0.5,2.163,2906,2986,2944,2820,166,17496,1938,1041,191,878,604915,7112851,25.4489481785531,"Floresta Ombrófila Mista","Estádio Avançado de Regeneração",386,31,11,2,"FOM"
"320","1062",12.15,12.15,12.15,10.53,180,180,180,5994.29728992482,398,0.104,1.607,5.023,0.292,0.505,1.683,2901,2990,3327,2811,179,19134,1960,1135,134,869,479052,6933420,15.6060606060606,"Floresta Ombrófila Mista","Estádio Médio de Regeneração",387,27,14,4,"FOM"
"321","1063",456.84,174.96,102.87,52.65,180,180,7470,8010,399,0.1,2.12,4.053,0.278,0.492,2.663,2904,2978,2676,2830,148,19349,2507,1020,269,854,677139,7112165,57.0769230769231,"Floresta Ombrófila Mista","Estádio Avançado de Regeneração",388,25,14,2,"FOM"
"322","1066",703.08,312.66,176.58,79.38,6120,7200,7650,8100,402,0.098,2.202,4.49,0.345,0.5,2.003,2905,2978,2615,2831,147,26882,3924,1259,360,783,704054,7111686,100,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",390,0,2,7,"FOD"
"323","1068",471.42,248.67,142.56,72.09,270,6112.05366468587,201.246117974981,7137.85682120341,403,0.097,2.102,3.923,0.323,0.48,2.94,2943,3018,3021,2864,154,21425,3217,957,387,0,721981,7111324,45.1166367598052,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",391,16,10,2,"FOD"
"324","1072",482.76,255.96,152.28,72.09,180,201.246117974981,5721.19742711261,6205.43310333775,405,0.103,2.167,4.21,0.302,0.478,2.545,2938,3013,2968,2860,153,27219,4058,1194,383,109,713178,7121471,80.3287108371854,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",393,13,9,5,"FOD"
"325","1073",511.92,222.75,131.22,60.75,180,180,201.246117974981,2362.3928547132,406,0.103,2.31,3.858,0.293,0.49,2.978,2943,3017,3002,2865,152,21288,3210,922,396,31,722186,7121469,36.1538461538462,"Floresta Ombrófila Densa","Estádio Médio de Regeneração",394,2,8,1,"FOD"
"326","1074",692.55,314.28,177.39,79.38,6120,7110,7560.53569530625,8100,407,0.104,2.433,3.6,0.332,0.48,3.083,2944,3015,2975,2868,147,22801,3463,946,406,23,731199,7121164,19.1833590138675,"Floresta Ombrófila Densa de Terras Baixas","Estádio Avançado de Regeneração",395,0,7,1,"FOD"
"328","1187",85.05,56.7,48.6,31.59,180,180,180,180,409,0.1,1.667,4.843,0.268,0.505,1.923,2909,2997,3332,2819,178,18869,1981,1129,137,753,470204,6943782,28.5967130214918,"Floresta Estacional Decidual/Floresta Ombrófila Mista","Estádio Avançado de Regeneração",397,24,11,1,"FED"
"329","1188",66.42,38.88,29.16,14.58,180,180,180,180,410,0.099,1.838,5.033,0.279,0.52,2.098,2913,3002,3393,2823,179,19133,2000,1148,136,667,474309,6943847,30.0303336703741,"Floresta Estacional Decidual/Floresta Ombrófila Mista","Estádio Médio de Regeneração",398,24,10,2,"FED"
"330","1190",27.54,27.54,27.54,24.3,180,180,180,180,411,0.105,1.563,5.287,0.258,0.51,1.792,2911,3000,3380,2820,180,17382,1834,1063,139,747,483943,6943400,32.8022255943348,"Floresta Ombrófila Mista/Floresta Estacional Decidual","Estádio Avançado de Regeneração",399,22,12,2,"FOM"
"331","1191",52.65,52.65,52.65,38.07,180,180,180,3259.93864972947,412,0.094,1.602,5.515,0.289,0.52,1.617,2906,2995,3372,2815,180,17192,1811,1058,139,843,488102,6943976,17.5757575757576,"Floresta Ombrófila Mista/Floresta Estacional Decidual","Estádio Médio de Regeneração",400,23,11,3,"FOM"
"332","1195",213.84,163.62,127.17,71.28,180,180,8640,9181.76453629693,413,0.094,1.803,5.605,0.296,0.51,1.547,2894,2983,3289,2803,180,17527,1789,1071,137,987,505919,6943782,52.1596362717858,"Floresta Ombrófila Mista","Estádio Médio de Regeneração",401,20,11,2,"FOM"
"333","1249",226.8,166.86,123.12,67.23,180,201.246117974981,254.558441227157,6110.72827083646,414,0.099,1.76,4.723,0.266,0.52,2.315,2909,2998,3336,2819,179,17944,1950,1073,144,733,457295,6948493,62.4050632911392,"Floresta Estacional Decidual/Floresta Ombrófila Mista","Estádio Médio de Regeneração",402,10,13,5,"FED"
"334","1318",516.78,252.72,152.28,69.66,180,180,3060,3510,415,0.105,1.943,3.783,0.27,0.53,2.75,2915,3004,3402,2823,181,18825,2070,1118,149,516,448156,6953621,82.9441624365482,"Floresta Estacional Decidual/Floresta Ombrófila Mista","Estádio Avançado de Regeneração",403,10,11,6,"FED"
"336","1461",33.21,33.21,32.4,17.82,180,180,180,180,417,0.101,1.812,4.738,0.278,0.522,2.017,2919,3010,3468,2823,187,18300,2115,1077,165,621,421438,6963447,38.2665990876837,"Floresta Estacional Decidual","Estádio Médio de Regeneração",405,32,11,1,"FED"
"337","1542",300.51,171.72,115.83,55.08,180,270,5097.52881306227,5606.06814086308,419,0.103,1.71,4.708,0.264,0.53,2.093,2920,3009,3397,2826,183,19181,2202,1164,162,604,430205,6968500,55.5217831813577,"Floresta Estacional Decidual/Floresta Ombrófila Mista","Estádio Médio de Regeneração",407,14,9,2,"FED"
"338","1616",162.81,87.48,68.85,39.69,180,180,180,201.246117974981,420,0.1,1.772,5.105,0.276,0.53,1.817,2921,3011,3452,2825,186,18349,2102,1106,162,627,412475,6973357,42.1867072552004,"Floresta Estacional Decidual","Estádio Avançado de Regeneração",408,23,10,1,"FED"
"339","1618",56.7,55.89,46.98,37.26,180,180,180,180,421,0.099,2.185,5.125,0.283,0.53,1.788,2916,3005,3361,2823,182,20183,2291,1218,160,618,421275,6973438,35.9078247657635,"Floresta Estacional Decidual","Estádio Médio de Regeneração",409,32,12,1,"FED"
"341","1693",301.32,146.61,56.7,17.82,180,180,201.246117974981,180,423,0.102,1.895,4.832,0.279,0.515,2.127,2923,3013,3481,2825,188,18009,2085,1110,162,544,403562,6978412,48.7446107025108,"Floresta Estacional Decidual","Estádio Médio de Regeneração",411,30,11,1,"FED"
"343","1703",64.8,54.27,50.22,39.69,180,180,180,5158.34275712656,425,0.102,1.675,4.287,0.297,0.52,2.27,2920,3009,3356,2829,180,18424,2074,1147,159,574,447956,6978002,31.3054499366286,"Floresta Estacional Decidual","Estádio Médio de Regeneração",413,27,14,3,"FED"
"344","1770",258.39,213.84,143.37,69.66,180,180,15337.5421759811,15882.8964612882,426,0.101,1.825,4.243,0.331,0.53,2.115,2924,3013,3452,2829,184,18259,2084,1126,154,566,332205,6982532,69.8908352373699,"Floresta Estacional Decidual","Estádio Médio de Regeneração",414,30,9,1,"FED"
"346","1775",144.18,76.14,34.02,22.68,180,254.558441227157,180,180,428,0.1,2.072,4.307,0.316,0.528,2.248,2924,3015,3544,2824,191,17508,2062,1101,162,554,385676,6983131,34.0274250888776,"Floresta Estacional Decidual","Estádio Avançado de Regeneração",416,25,11,1,"FED"
"347","1787",223.56,130.41,84.24,48.6,180,180,180,9000,429,0.098,1.817,4.815,0.281,0.52,2.155,2920,3008,3325,2829,179,19710,2205,1192,160,621,439191,6983723,50.1014198782961,"Floresta Estacional Decidual","Estádio Avançado de Regeneração",417,24,10,1,"FED"
"348","1859",191.97,136.08,95.58,41.31,180,180,180,201.246117974981,430,0.099,2.365,4.113,0.345,0.52,2.243,2925,3017,3562,2825,192,18618,2120,1178,149,539,349979,6987736,43.3967046894804,"Floresta Estacional Decidual","Estádio Médio de Regeneração",418,22,10,2,"FED"
"349","1861",272.16,174.15,115.83,63.99,180,180,180,5427.67906199326,431,0.102,2.037,3.948,0.305,0.52,2.38,2926,3018,3585,2825,193,17913,2043,1129,150,511,359234,6988064,53.3620908398884,"Floresta Estacional Decidual","Estádio Médio de Regeneração",419,30,10,1,"FED"
"350","1864",136.08,59.94,35.64,21.06,180,254.558441227157,402.492235949962,4050,432,0.104,1.918,4.148,0.298,0.525,2.303,2920,3011,3483,2820,191,19534,2231,1236,150,569,372063,6988039,26.8305041803902,"Floresta Estacional Decidual","Estádio Avançado de Regeneração",420,22,10,1,"FED"
"351","1959",118.26,87.48,54.27,26.73,180,371.079506305589,371.079506305589,180,434,0.099,1.735,4.538,0.302,0.53,2.18,2919,3009,3407,2823,186,23658,2664,1502,145,684,345228,6993131,29.9086757990868,"Floresta Estacional Decidual","Estádio Médio de Regeneração",422,21,10,4,"FED"
"352","1961",237.33,124.74,65.61,29.16,180,201.246117974981,201.246117974981,3960,435,0.098,1.633,4.202,0.308,0.52,2.402,2922,3013,3476,2823,190,19073,2156,1206,146,520,354319,6992964,36.2274689007362,"Floresta Estacional Decidual","Estádio Avançado de Regeneração",423,25,8,2,"FED"
"354","1970",209.79,124.74,76.95,43.74,180,180,180,180,437,0.099,1.858,4.53,0.283,0.52,2.108,2920,3008,3332,2825,183,21136,2462,1300,161,556,394361,6993287,41.3302868748413,"Floresta Estacional Decidual/Floresta Ombrófila Mista","Estádio Médio de Regeneração",425,29,9,2,"FED"
"355","1980",306.18,208.17,127.17,64.8,180,2790,3421.18400557468,180,438,0.098,1.803,5.14,0.305,0.522,1.753,2913,3000,3215,2824,176,20448,2294,1216,167,752,439328,6993546,63.2808532249873,"Floresta Ombrófila Mista/Floresta Estacional Decidual","Estádio Avançado de Regeneração",426,26,9,4,"FOM"
"356","2001",450.36,309.42,225.99,125.55,180,201.246117974981,5876.93797823322,6363.96103067893,439,0.104,2.03,4.993,0.294,0.5,2.195,2908,2992,3091,2820,172,16945,1863,1013,180,811,569741,7100144,67.8525723061172,"Floresta Ombrófila Mista","Estádio Avançado de Regeneração",427,8,9,5,"FOM"
"357","2002",450.36,309.42,225.99,125.55,180,201.246117974981,5876.93797823322,6363.96103067893,440,0.104,2.042,5.007,0.373,0.502,2.107,2908,2992,3103,2820,172,17023,1872,1019,180,827,570586,7100232,66.2231320368475,"Floresta Ombrófila Mista","Estádio Avançado de Regeneração",428,8,9,5,"FOM"
"360","2081",136.89,63.99,34.83,19.44,180,180,180,180,445,0.098,1.777,4.348,0.312,0.51,2.147,2915,3004,3340,2818,186,22028,2495,1410,147,715,372159,6997955,38.5710653445207,"Floresta Estacional Decidual","Estádio Médio de Regeneração",433,17,9,1,"FED"
"361","2083",349.92,175.77,96.39,44.55,180,270,180,180,446,0.099,1.908,4.617,0.326,0.51,1.977,2921,3010,3391,2824,186,19829,2301,1245,156,531,381153,6998121,51.0292249047014,"Floresta Estacional Decidual","Estádio Avançado de Regeneração",434,29,10,1,"FED"
"362","2099",291.6,144.18,85.05,55.89,180,180,180,3691.09739779378,448,0.099,1.913,5.148,0.291,0.532,1.865,2921,3009,3308,2831,178,18102,1993,1093,164,687,452327,6998543,50.0126871352449,"Floresta Estacional Decidual","Estádio Avançado de Regeneração",436,24,9,2,"FED"
"363","2100",298.08,118.26,81.81,49.41,180,180,180,270,449,0.1,1.913,5.19,0.3,0.532,1.723,2914,3001,3255,2825,176,18212,1993,1108,161,760,456893,6998537,39.9086062452399,"Floresta Estacional Decidual","Estádio Médio de Regeneração",437,18,11,3,"FED"
"364","2101",106.92,70.47,55.08,34.02,180,180,254.558441227157,254.558441227157,450,0.1,1.755,5.298,0.286,0.512,1.585,2911,2998,3232,2822,176,19388,2121,1194,160,801,461379,6998462,25.3424657534247,"Floresta Estacional Decidual","Estádio Médio de Regeneração",438,30,12,3,"FED"
"365","2166",130.41,89.1,71.28,41.31,180,180,180,4155.62269702147,451,0.104,1.577,4.783,0.255,0.52,2.118,2932,3026,3595,2835,191,20076,2366,1141,182,389,234066,7000984,38.6005089058524,"Floresta Estacional Decidual","Estádio Médio de Regeneração",439,15,9,1,"FED"
"367","2172",120.69,68.85,59.13,38.88,180,180,180,180,453,0.103,1.783,3.88,0.287,0.52,2.6,2938,3033,3668,2840,193,20782,2430,1224,178,346,260529,7001403,29.7153024911032,"Floresta Estacional Decidual","Estádio Médio de Regeneração",441,26,12,1,"FED"
"368","2179",144.18,81,42.93,26.73,180,180,180,180,454,0.104,1.6,4.407,0.297,0.51,2.072,2938,3031,3591,2842,189,20022,2313,1217,170,343,291781,7001697,31.952211489578,"Floresta Estacional Decidual","Estádio Médio de Regeneração",442,24,13,1,"FED"
"369","2194",130.41,74.52,48.6,25.92,180,180,180,180,455,0.1,1.878,4.308,0.326,0.52,2.062,2921,3010,3397,2825,185,21696,2447,1391,144,692,363244,7002815,42.4657534246575,"Floresta Estacional Decidual","Estádio Médio de Regeneração",443,23,8,2,"FED"
"370","2195",250.29,138.51,80.19,40.5,180,180,180,201.246117974981,456,0.096,1.835,4.692,0.335,0.52,1.92,2911,2998,3264,2816,182,22513,2544,1447,145,840,367862,7002599,43.3290978398984,"Floresta Estacional Decidual","Estádio Médio de Regeneração",444,14,9,1,"FED"
"371","2216",244.62,135.27,76.95,31.59,180,180,180,180,457,0.096,1.913,5.117,0.291,0.522,1.737,2912,2999,3217,2823,176,18408,1998,1120,161,710,461150,7003378,42.4619289340102,"Floresta Estacional Decidual/Floresta Ombrófila Mista","Estádio Médio de Regeneração",445,15,10,1,"FED"
"372","2287",166.86,82.62,44.55,25.11,180,180,180,180,459,0.106,1.673,3.85,0.293,0.507,2.738,2935,3029,3621,2838,191,20390,2395,1194,180,269,260358,7006012,43.3511314518179,"Floresta Estacional Decidual","Estádio Médio de Regeneração",447,24,10,1,"FED"
"373","2294",255.96,166.86,96.39,29.16,180,180,180,180,460,0.102,1.842,4.187,0.292,0.53,1.965,2934,3025,3519,2839,186,19616,2274,1189,172,432,291739,7006971,51.5907355561211,"Floresta Estacional Decidual","Estádio Médio de Regeneração",448,25,9,1,"FED"
"374","2310",74.52,74.52,68.85,38.88,180,180,180,284.604989415154,461,0.092,1.768,4.128,0.345,0.52,2.115,2907,2994,3186,2815,179,23625,2678,1530,145,879,363172,7007828,29.7564687975647,"Floresta Estacional Decidual","Estádio Avançado de Regeneração",449,30,10,1,"FED"
"375","2406",269.73,133.65,88.29,45.36,180,180,180,13549.1106719223,462,0.101,2.002,3.968,0.313,0.53,2.362,2930,3022,3459,2836,186,20768,2417,1228,180,385,278138,7011882,51.6284987277354,"Floresta Estacional Decidual","Estádio Médio de Regeneração",450,24,9,2,"FED"
"376","2414",393.66,185.49,95.58,46.17,180,180,180,9467.12733620923,463,0.1,1.762,4.44,0.306,0.53,2.032,2934,3025,3482,2839,186,20306,2337,1277,161,440,313816,7012323,58.0030487804878,"Floresta Estacional Decidual","Estádio Avançado de Regeneração",451,28,9,1,"FED"
"378","2510",256.77,105.3,42.12,21.87,180,180,180,180,465,0.107,1.627,4.162,0.302,0.53,2.393,2932,3025,3506,2837,188,20309,2390,1142,184,433,233380,7015545,41.6772554002541,"Floresta Estacional Decidual","Estádio Médio de Regeneração",453,11,11,1,"FED"
"379","2512",127.17,47.79,45.36,32.4,180,180,180,254.558441227157,466,0.105,1.682,4.522,0.294,0.54,2.293,2930,3024,3491,2836,188,21753,2534,1236,180,444,242337,7015904,42.6279602750191,"Floresta Estacional Decidual/Floresta Ombrófila Mista","Estádio Médio de Regeneração",454,18,9,1,"FED"
"381","2530",210.6,119.88,89.91,38.07,180,180,2970,180,468,0.104,1.77,4.227,0.306,0.52,2.178,2926,3015,3347,2832,183,21539,2486,1382,156,547,322933,7017429,45.5170657157412,"Floresta Estacional Decidual","Estádio Médio de Regeneração",456,28,9,2,"FED"
